studentID,gender,age,course,feederSchoolType,civilStatus,familyMonthlyIncome,religion,barangay
21-00001,Male,25,BSN,Public,Living with Partner,78467,The Church of Jesus Christ of Latter-Day Saints,Pinagbuhatan
21-00002,Female,35,BSIT,Private,Separated,126273,Undetermined,Kapitolyo
21-00003,Female,33,BSED-MATH,Private,Separated,99744,No Religion,Santa Rosa
21-00004,Male,19,BSED-FIL,Private,Living with Partner,74486,LDS Mormon,San Antonio
21-00005,Female,28,BSA,Public,Widower,44441,Aglipay,Manggahan
21-00006,Female,20,BSBA,Private,Living with Partner,70133,Undetermined,Marikina City
21-00007,Male,21,BSIT,Private,Widower,13717,The Church of Jesus Christ of Latter-Day Saints,Catanduanes
21-00008,Female,27,ABPSYCH,Public,Widower,19259,Jehovah's Witness,Santa Cruz
21-00009,Male,27,ABPSYCH,Private,Single,35704,Roman Catholic,Manggahan
21-00010,Male,35,BSIT,Private,Widower,132180,Atheist,San Miguel
21-00011,Female,27,BSED-MATH,Private,Married,131913,Islam,Sagad
21-00012,Male,26,ABPSYCH,Public,Separated,104631,Atheist,Bagong Ilog
21-00013,Male,21,BSBA,Public,Single,106871,No Religion,Santa Rosa
21-00014,Male,18,BSECE,Public,Single Parent,78885,Protestant/Pentecostal,Manggahan
21-00015,Female,17,ABPSYCH,Private,Living with Partner,15029,Agnostic,Marikina City
21-00016,Male,28,BSED-ENG,Private,Married,137577,Baptist,"Montalban, Rizal"
21-00017,Male,26,BSCS,Public,Widower,124245,World Mission Society Church of God,Bagong Katipunan
21-00018,Male,27,BSN,Public,Married,21999,Atheist,Quezon City
21-00019,Female,23,BSCS,Private,Living with Partner,15483,The Church of Jesus Christ of Latter-Day Saints,Antipolo
21-00020,Male,35,BSHM,Private,Living with Partner,121885,Roman Catholic,Quezon City
21-00021,Male,22,BSA,Private,Separated,118116,The Church of Jesus Christ of Latter-Day Saints,Taguig City
21-00022,Female,33,BSN,Public,Single,43998,Jehovah's Witness,Ugong
21-00023,Male,26,BSIT,Private,Married,21558,Iglesia Ni Cristo,Malinao
21-00024,Male,35,BSHM,Private,Separated,52882,Islam,Maybunga
21-00025,Male,33,BEED,Private,Single,79318,Undetermined,Quezon City
21-00026,Male,29,BSHM,Public,Single,95306,Born - Again Christian,Pateros
21-00027,Female,34,BEED,Private,Separated,52025,LDS Mormon,Sumilang
21-00028,Male,30,BSED-ENG,Private,Single,113564,Members Church of God International,Manggahan
21-00029,Male,23,BSED-FIL,Public,Single,18255,Aglipay,Mandaluyong City
21-00030,Female,28,BSBA,Private,Single,81411,LDS Mormon,Oranbo
21-00031,Female,27,BSED-MATH,Private,Living with Partner,56242,Aglipay,San Miguel
21-00032,Male,24,BSIT,Public,Married,112389,LDS Mormon,Kalawaan
21-00033,Male,31,BSED-ENG,Public,Married,8336,Islam,San Jose
21-00034,Male,23,BSIT,Private,Single Parent,52463,World Mission Society Church of God,Mandaluyong City
21-00035,Male,19,BSIT,Private,Separated,66921,The Church of Jesus Christ of Latter-Day Saints,Bagong Ilog
21-00036,Female,24,ABPSYCH,Public,Single,80131,Born - Again Christian,Antipolo
21-00037,Male,17,BSCS,Public,Single Parent,33857,Roman Catholic,Catanduanes
21-00038,Male,28,BEED,Private,Married,117472,Methodist,Palatiw
21-00039,Female,27,BSA,Private,Separated,33277,World Mission Society Church of God,Santa Lucia
21-00040,Female,28,BSHM,Private,Living with Partner,91241,Jehovah's Witness,Pineda
21-00041,Female,16,BSED-ENG,Private,Single,81901,Roman Catholic,"Montalban, Rizal"
21-00042,Male,33,BSBA,Private,Married,76248,Islam,Santa Cruz
21-00043,Male,18,BSHM,Public,Living with Partner,114597,Protestant/Pentecostal,Kapitolyo
21-00044,Female,16,BSED-ENG,Private,Separated,137564,Baptist,Palatiw
21-00045,Male,23,BSHM,Public,Living with Partner,41771,Methodist,Binangonan
21-00046,Male,29,ABPSYCH,Public,Living with Partner,93413,Protestant/Pentecostal,Maybunga
21-00047,Female,30,BSED-ENG,Private,Married,14836,Baptist,Santolan
21-00048,Male,28,BSBA,Public,Single Parent,97055,LDS Mormon,San Nicolas
21-00049,Female,22,BSIT,Private,Separated,59396,No Religion,Sumilang
21-00050,Female,27,BSCS,Public,Separated,80379,Undetermined,Santa Lucia
21-00051,Female,26,BSED-MATH,Public,Living with Partner,64544,Agnostic,Quezon City
21-00052,Female,27,BSA,Public,Single Parent,93089,Roman Catholic,Taguig City
21-00053,Male,23,BSN,Private,Separated,42446,Undetermined,Catanduanes
21-00054,Female,21,ABPSYCH,Public,Single,108079,Baptist,Marikina City
21-00055,Female,33,BSED-FIL,Private,Single Parent,39113,Atheist,San Joaquin
21-00056,Male,34,BSIT,Public,Living with Partner,69485,Iglesia Ni Cristo,Pineda
