Year,Course Code,Enrollment
2014,BEED                ,364
2014,BSA                 ,539
2014,BSBA                ,990
2014,BSCS                ,246
2014,BSECE               ,718
2014,BSED-ENG            ,202
2014,BSED-FIL            ,266
2014,BSED-MATH           ,316
2014,BSENT               ,441
2014,BSHM                ,178
2014,BSIT                ,248
2014,BSN                 ,44
2014,GRAND_TOTAL,4552
2015,BEED                ,373
2015,BSA                 ,469
2015,BSBA                ,839
2015,BSCS                ,261
2015,BSECE               ,726
2015,BSED-ENG            ,163
2015,BSED-FIL            ,223
2015,BSED-MATH           ,172
2015,BSENT               ,378
2015,BSHM                ,189
2015,BSIT                ,391
2015,BSN                 ,56
2015,GRAND_TOTAL,4240
2016,BEED                ,325
2016,BSA                 ,132
2016,BSBA                ,572
2016,BSCS                ,314
2016,BSECE               ,212
2016,BSED-ENG            ,165
2016,BSED-FIL            ,257
2016,BSED-MATH           ,152
2016,BSENT               ,143
2016,BSHM                ,423
2016,BSIT                ,341
2016,BSN                 ,121
2016,GRAND_TOTAL,3157
2017,BEED                ,236
2017,BSA                 ,167
2017,BSBA                ,338
2017,BSCS                ,169
2017,BSECE               ,211
2017,BSED-ENG            ,116
2017,BSED-FIL            ,179
2017,BSED-MATH           ,100
2017,BSENT               ,103
2017,BSHM                ,220
2017,BSIT                ,150
2017,BSN                 ,69
2017,GRAND_TOTAL,2058
2018,BEED                ,102
2018,BSA                 ,142
2018,BSBA                ,347
2018,BSCS                ,146
2018,BSECE               ,171
2018,BSED-ENG            ,80
2018,BSED-FIL            ,106
2018,BSED-MATH           ,57
2018,BSENT               ,112
2018,BSHM                ,376
2018,BSIT                ,345
2018,BSN                 ,78
2018,GRAND_TOTAL,2062
2019,BEED                ,74
2019,BSA                 ,207
2019,BSBA                ,355
2019,BSCS                ,72
2019,BSECE               ,146
2019,BSED-ENG            ,83
2019,BSED-FIL            ,83
2019,BSED-MATH           ,32
2019,BSENT               ,136
2019,BSHM                ,503
2019,BSIT                ,513
2019,BSN                 ,130
2019,GRAND_TOTAL,2334
2020,BEED                ,138
2020,BSA                 ,247
2020,BSBA                ,528
2020,BSCS                ,104
2020,BSECE               ,97
2020,BSED-ENG            ,119
2020,BSED-FIL            ,123
2020,BSED-MATH           ,47
2020,BSENT               ,195
2020,BSHM                ,626
2020,BSIT                ,647
2020,BSN                 ,183
2020,GRAND_TOTAL,3054
2021,BEED                ,171
2021,BSA                 ,345
2021,BSBA                ,697
2021,BSCS                ,133
2021,BSECE               ,90
2021,BSED-ENG            ,138
2021,BSED-FIL            ,141
2021,BSED-MATH           ,52
2021,BSENT               ,245
2021,BSHM                ,746
2021,BSIT                ,753
2021,BSN                 ,221
2021,GRAND_TOTAL,3732
2022,BEED                ,192
2022,BSA                 ,398
2022,BSBA                ,746
2022,BSCS                ,133
2022,BSECE               ,147
2022,BSED-ENG            ,191
2022,BSED-FIL            ,183
2022,BSED-MATH           ,73
2022,BSENT               ,273
2022,BSHM                ,739
2022,BSIT                ,743
2022,BSN                 ,323
2022,GRAND_TOTAL,4141
