academic_year,course,applicant_count,enrollee_count
2020-2021,BSCS,101,252
2020-2021,BSIT,116,298
2020-2021,BSA,496,298
2020-2021,BSBA,272,221
2020-2021,BEED,360,62
2020-2021,BSED-FIL,152,254
2020-2021,BSED-ENG,247,244
2020-2021,BSED-MATH,287,261
2020-2021,BSN,176,243
2020-2021,BSECE,346,51
2020-2021,BSHM,219,78
2021-2022,BSCS,318,82
2021-2022,BSIT,353,244
2021-2022,BSA,166,52
2021-2022,BSBA,122,229
2021-2022,BEED,424,196
2021-2022,BSED-FIL,196,190
2021-2022,BSED-ENG,465,160
2021-2022,BSED-MATH,236,205
2021-2022,BSN,172,268
2021-2022,BSECE,372,207
2021-2022,BSHM,156,131
2022-2023,BSCS,283,183
2022-2023,BSIT,199,84
2022-2023,BSA,410,288
2022-2023,BSBA,242,82
2022-2023,BEED,484,195
2022-2023,BSED-FIL,438,127
2022-2023,BSED-ENG,228,149
2022-2023,BSED-MATH,300,121
2022-2023,BSN,487,226
2022-2023,BSECE,121,217
2022-2023,BSHM,430,186
2022-2023,ABPSYCH,207,270
2023-2024,BSCS,174,127
2023-2024,BSIT,218,79
2023-2024,BSA,180,258
2023-2024,BSBA,105,173
2023-2024,BEED,313,232
2023-2024,BSED-FIL,331,168
2023-2024,BSED-ENG,394,269
2023-2024,BSED-MATH,272,146
2023-2024,BSN,206,199
2023-2024,BSECE,300,78
2023-2024,BSHM,347,280
2023-2024,ABPSYCH,265,70
2024-2025,BSCS,179,143
2024-2025,BSIT,355,189
2024-2025,BSA,172,189
2024-2025,BSBA,239,248
2024-2025,BEED,374,247
2024-2025,BSED-FIL,298,138
2024-2025,BSED-ENG,110,183
2024-2025,BSED-MATH,407,131
2024-2025,BSN,346,83
2024-2025,BSECE,419,54
2024-2025,BSHM,391,52
2024-2025,ABPSYCH,349,230
2025-2026,BSCS,444,109
2025-2026,BSIT,281,87
2025-2026,BSA,478,153
2025-2026,BSBA,267,209
2025-2026,BEED,262,152
2025-2026,BSED-FIL,203,233
2025-2026,BSED-ENG,167,244
2025-2026,BSED-MATH,285,233
2025-2026,BSN,158,260
2025-2026,BSECE,133,293
2025-2026,BSHM,268,56
2025-2026,ABPSYCH,304,290
