studentID,gender,age,course,feederSchoolType,civilStatus,familyMonthlyIncome,religion,barangay
21-00001,Female,23,BSHM,Public,Married,16164,Roman Catholic,San Miguel
21-00002,Male,17,BSHM,Public,Single,59076,Atheist,Maybunga
21-00003,Male,22,BSBA,Public,Living with Partner,24435,Born - Again Christian,Santa Rosa
21-00004,Female,31,BSIT,Private,Single,40670,Aglipay,Bagong Ilog
21-00005,Female,17,BSECE,Private,Single Parent,117895,Agnostic,Taguig City
21-00006,Female,19,BSECE,Private,Widower,34704,World Mission Society Church of God,Kapasigan
21-00007,Female,20,BSED-MATH,Private,Separated,29168,Iglesia Ni Cristo,Kalawaan
21-00008,Female,35,BSED-ENG,Public,Separated,96291,LDS Mormon,Sagad
21-00009,Male,27,BSED-MATH,Public,Living with Partner,33791,Born - Again Christian,Cavite
21-00010,Male,23,ABPSYCH,Public,Widower,119896,Members Church of God International,Rosario
21-00011,Female,25,BSA,Private,Separated,45771,Seventh-Day Adventist,Cainta
21-00012,Female,21,BSECE,Public,Single,29162,The Church of Jesus Christ of Latter-Day Saints,Ugong
21-00013,Female,20,BEED,Public,Living with Partner,66102,Roman Catholic,Dela Paz
21-00014,Female,29,BSA,Public,Married,48018,LDS Mormon,Santo Tomas
21-00015,Male,34,BSED-FIL,Public,Widower,49325,Agnostic,Rosario
21-00016,Female,16,BSCS,Public,Single,120813,Undetermined,Taguig City
21-00017,Female,31,BSIT,Private,Separated,108327,World Mission Society Church of God,Ugong
21-00018,Female,31,BSECE,Public,Widower,66818,Undetermined,Pinagbuhatan
21-00019,Female,22,BSED-MATH,Public,Married,105579,Protestant/Pentecostal,Sagad
21-00020,Male,32,BSN,Private,Married,50137,Members Church of God International,Ugong
21-00021,Male,27,BSIT,Private,Married,134981,The Church of Jesus Christ of Latter-Day Saints,Buting
21-00022,Female,29,BSED-FIL,Public,Single,98389,LDS Mormon,Cainta
21-00023,Male,32,BSED-FIL,Private,Separated,83413,Methodist,Santo Tomas
21-00024,Male,30,BSCS,Public,Single,34151,LDS Mormon,Santa Cruz
21-00025,Male,25,BSBA,Public,Widower,13217,Roman Catholic,Malinao
21-00026,Female,23,BSED-FIL,Public,Separated,121734,Iglesia Ni Cristo,Dela Paz
21-00027,Female,19,ABPSYCH,Private,Married,81566,World Mission Society Church of God,Santolan
21-00028,Male,35,BSBA,Public,Separated,68355,World Mission Society Church of God,Binangonan
21-00029,Male,28,BSED-FIL,Private,Married,110080,Born - Again Christian,Malinao
21-00030,Male,23,BSECE,Private,Separated,82836,Aglipay,San Miguel
21-00031,Female,22,BSED-MATH,Public,Married,17865,Baptist,Kapasigan
21-00032,Female,23,BSHM,Public,Married,91310,Aglipay,Malinao
21-00033,Male,33,BEED,Private,Single,15299,No Religion,Santa Lucia
21-00034,Male,22,BSN,Public,Widower,137678,Iglesia Ni Cristo,Kalawaan
21-00035,Female,18,BSN,Public,Separated,9824,Seventh-Day Adventist,Oranbo
21-00036,Male,26,BSED-FIL,Public,Single,89794,LDS Mormon,Oranbo
21-00037,Male,16,ABPSYCH,Private,Widower,47213,Iglesia Ni Cristo,Santa Lucia
21-00038,Female,18,BSIT,Private,Married,128221,Jehovah's Witness,Binangonan
21-00039,Male,28,BSED-MATH,Private,Single,130725,No Religion,Maybunga
21-00040,Female,16,BSED-FIL,Public,Single,115492,LDS Mormon,Taguig City
21-00041,Female,34,BSED-MATH,Private,Single Parent,136039,Baptist,Sagad
21-00042,Female,21,BSECE,Public,Living with Partner,83126,Islam,Sumilang
21-00043,Female,30,BSECE,Private,Married,134457,Iglesia Ni Cristo,Santa Cruz
21-00044,Male,34,BSBA,Public,Living with Partner,119593,The Church of Jesus Christ of Latter-Day Saints,Rosario
